match_id,minute,value
26-27-prem-arsenal-vs-coventry-city,1.0,-4
26-27-prem-arsenal-vs-coventry-city,2.0,-34
26-27-prem-arsenal-vs-coventry-city,3.0,-8
26-27-prem-arsenal-vs-coventry-city,4.0,-8
26-27-prem-arsenal-vs-coventry-city,5.0,19
26-27-prem-arsenal-vs-coventry-city,6.0,31
26-27-prem-arsenal-vs-coventry-city,7.0,35
26-27-prem-arsenal-vs-coventry-city,8.0,31
26-27-prem-arsenal-vs-coventry-city,9.0,46
26-27-prem-arsenal-vs-coventry-city,10.0,25
26-27-prem-arsenal-vs-coventry-city,11.0,52
26-27-prem-arsenal-vs-coventry-city,12.0,45
26-27-prem-arsenal-vs-coventry-city,13.0,20
26-27-prem-arsenal-vs-coventry-city,14.0,-10
26-27-prem-arsenal-vs-coventry-city,15.0,21
26-27-prem-arsenal-vs-coventry-city,16.0,29
26-27-prem-arsenal-vs-coventry-city,17.0,18
26-27-prem-arsenal-vs-coventry-city,18.0,21
26-27-prem-arsenal-vs-coventry-city,19.0,49
26-27-prem-arsenal-vs-coventry-city,20.0,37
26-27-prem-arsenal-vs-coventry-city,21.0,24
26-27-prem-arsenal-vs-coventry-city,22.0,32
26-27-prem-arsenal-vs-coventry-city,23.0,49
26-27-prem-arsenal-vs-coventry-city,24.0,30
26-27-prem-arsenal-vs-coventry-city,25.0,21
26-27-prem-arsenal-vs-coventry-city,26.0,21
26-27-prem-arsenal-vs-coventry-city,27.0,3
26-27-prem-arsenal-vs-coventry-city,28.0,12
26-27-prem-arsenal-vs-coventry-city,29.0,-12
26-27-prem-arsenal-vs-coventry-city,30.0,-10
26-27-prem-arsenal-vs-coventry-city,31.0,14
26-27-prem-arsenal-vs-coventry-city,32.0,18
26-27-prem-arsenal-vs-coventry-city,33.0,23
26-27-prem-arsenal-vs-coventry-city,34.0,30
26-27-prem-arsenal-vs-coventry-city,35.0,10
26-27-prem-arsenal-vs-coventry-city,36.0,15
26-27-prem-arsenal-vs-coventry-city,37.0,12
26-27-prem-arsenal-vs-coventry-city,38.0,38
26-27-prem-arsenal-vs-coventry-city,39.0,17
26-27-prem-arsenal-vs-coventry-city,40.0,11
26-27-prem-arsenal-vs-coventry-city,41.0,6
26-27-prem-arsenal-vs-coventry-city,42.0,4
26-27-prem-arsenal-vs-coventry-city,43.0,-10
26-27-prem-arsenal-vs-coventry-city,44.0,7
26-27-prem-arsenal-vs-coventry-city,45.0,27
26-27-prem-arsenal-vs-coventry-city,45.5,37
26-27-prem-arsenal-vs-coventry-city,46.0,10
26-27-prem-arsenal-vs-coventry-city,47.0,17
26-27-prem-arsenal-vs-coventry-city,48.0,5
26-27-prem-arsenal-vs-coventry-city,49.0,5
26-27-prem-arsenal-vs-coventry-city,50.0,20
26-27-prem-arsenal-vs-coventry-city,51.0,13
26-27-prem-arsenal-vs-coventry-city,52.0,63
26-27-prem-arsenal-vs-coventry-city,53.0,40
26-27-prem-arsenal-vs-coventry-city,54.0,71
26-27-prem-arsenal-vs-coventry-city,55.0,33
26-27-prem-arsenal-vs-coventry-city,56.0,-38
26-27-prem-arsenal-vs-coventry-city,57.0,-18
26-27-prem-arsenal-vs-coventry-city,58.0,-46
26-27-prem-arsenal-vs-coventry-city,59.0,-29
26-27-prem-arsenal-vs-coventry-city,60.0,-10
26-27-prem-arsenal-vs-coventry-city,61.0,24
26-27-prem-arsenal-vs-coventry-city,62.0,43
26-27-prem-arsenal-vs-coventry-city,63.0,48
26-27-prem-arsenal-vs-coventry-city,64.0,41
26-27-prem-arsenal-vs-coventry-city,65.0,34
26-27-prem-arsenal-vs-coventry-city,66.0,89
26-27-prem-arsenal-vs-coventry-city,67.0,36
26-27-prem-arsenal-vs-coventry-city,68.0,27
26-27-prem-arsenal-vs-coventry-city,69.0,25
26-27-prem-arsenal-vs-coventry-city,70.0,11
26-27-prem-arsenal-vs-coventry-city,71.0,1
26-27-prem-arsenal-vs-coventry-city,72.0,20
26-27-prem-arsenal-vs-coventry-city,73.0,23
26-27-prem-arsenal-vs-coventry-city,74.0,-20
26-27-prem-arsenal-vs-coventry-city,75.0,-8
26-27-prem-arsenal-vs-coventry-city,76.0,-25
26-27-prem-arsenal-vs-coventry-city,77.0,-27
26-27-prem-arsenal-vs-coventry-city,78.0,22
26-27-prem-arsenal-vs-coventry-city,79.0,-5
26-27-prem-arsenal-vs-coventry-city,80.0,12
26-27-prem-arsenal-vs-coventry-city,81.0,11
26-27-prem-arsenal-vs-coventry-city,82.0,27
26-27-prem-arsenal-vs-coventry-city,83.0,16
26-27-prem-arsenal-vs-coventry-city,84.0,9
26-27-prem-arsenal-vs-coventry-city,85.0,13
26-27-prem-arsenal-vs-coventry-city,86.0,-47
26-27-prem-arsenal-vs-coventry-city,87.0,-33
26-27-prem-arsenal-vs-coventry-city,88.0,21
26-27-prem-arsenal-vs-coventry-city,89.0,-3
26-27-prem-arsenal-vs-coventry-city,90.0,-22
26-27-prem-arsenal-vs-coventry-city,90.5,21
