player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
172,26-27-prem-arsenal-vs-coventry-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0,,,,,,,
2,26-27-prem-arsenal-vs-coventry-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
184,26-27-prem-arsenal-vs-coventry-city,90.0,0.0,0.0,,,0.01,,,,0.0,67.0,50.0,89.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,1.0,2.0,100.0,3.0,75.0,2.0,0.0,,,,,,,,0.0,,,,,,,,,0,90,3,0.0,0,,,,,,,
15,26-27-prem-arsenal-vs-coventry-city,76.0,1.0,0.0,3.0,0.21,0.1,1.0,,,6.0,72.0,52.0,93.0,3.0,4.0,0.0,0.0,2.0,100.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,,,,,,,0.16,,0,76,0,0.0,0,,,,,,,
1,26-27-prem-arsenal-vs-coventry-city,90.0,,,,,,,,,,27.0,,,,1.0,,,,,0.0,0.0,8.0,,1.0,,,,,,,,,,0.0,1.0,0.0,0.04,0.04,2.0,14.0,5.0,,0.0,,1.0,,,,,,0,90,0,0.0,0,,,,,,,
17,26-27-prem-arsenal-vs-coventry-city,14.0,0.0,0.0,2.0,0.14,0.02,1.0,,,2.0,15.0,11.0,92.0,0.0,2.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,1.0,1.0,50.0,0.0,,,1.0,,,,,,,,0.0,,,,,,,0.38,,76,90,0,0.0,0,,,,,,,
492,26-27-prem-arsenal-vs-coventry-city,20.0,0.0,0.0,,,,,,,0.0,7.0,4.0,67.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,,1.0,100.0,0.0,,1.0,0.0,,,,,,,,0.0,,,,,,,,,70,90,0,0.0,0,,,,,,,
13,26-27-prem-arsenal-vs-coventry-city,68.0,0.0,0.0,2.0,0.07,0.08,0.0,,,0.0,85.0,71.0,95.0,0.0,12.0,0.0,0.0,6.0,86.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,,3.0,0.0,0.0,0.0,,,2.0,,,,,,,,0.0,,,,,,,,,0,68,0,0.0,0,,,,,,,
25,26-27-prem-arsenal-vs-coventry-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
26,26-27-prem-arsenal-vs-coventry-city,90.0,1.0,0.0,1.0,0.26,0.03,1.0,,,5.0,38.0,20.0,80.0,1.0,3.0,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,2.0,40.0,3.0,60.0,2.0,2.0,,,,,,,,0.0,,,,,,,0.87,,0,90,0,0.0,0,,,,,,,
